annotation_id,source_file,dataset_group,agent_text,action_label,action_id,action_confidence,label_reason,human_label,human_notes
ann_0044,oasst1-train.csv,openassistant,"""Reductio ad absurdum"" is a Latin term that means ""reduction to absurdity."" It is a type of argument that aims to disprove a claim or argument by demonstrating that its logical consequences are absurd or contradictory.

The basic idea behind reductio ad absurdum is to assume that a given claim or argument is true, and then to show that this leads to a logical contradiction or absurdity. By doing so, the argument demonstrates that the original claim or argument must be false or incomplete.

Synonyms for ""reductio ad absurdum"" include proof by contradiction, indirect proof, and proof by reductio. These terms are all used to describe a similar type of argumentative strategy that involves showing that a claim or argument leads to absurd or contradictory consequences.",Provide_Solution,1,0.35,no_pattern_match_default,,
ann_0045,twcs.csv,twitter,@198622 Can you tell us more about what you need help with? Just be sure not to post any personal information. ^EP,Provide_Solution,1,0.35,no_pattern_match_default,,
ann_0046,twcs.csv,twitter,@131274 Thanks for reaching out to us. We definitely understand your concern here. This email is not authentic. This is likely a phishing attempt to get personal information from you. You can learn more about how to identify phishing emails here: https://t.co/LNMCdqt6fD,Provide_Solution,1,0.62,Provide_Solution:\byou can\b,,
ann_0047,twcs.csv,twitter,"@165434 We'd be happy to look into what's going on. To start, can you let us know which device and software version you're using?",Provide_Solution,1,0.35,no_pattern_match_default,,
ann_0048,twcs.csv,twitter,"@201793 We're here to help, 24/7! Feel free to send us a DM with your record locator, if you have any questions.",Provide_Solution,1,0.35,no_pattern_match_default,,
ann_0049,twcs.csv,twitter,@170514 That's not okay. Which location was this?,Provide_Solution,1,0.35,no_pattern_match_default,,
ann_0050,twcs.csv,twitter,"@192101 It's expected completion is 03/Oct/2017. Request for your kind patience. Regards, Mahindra",Provide_Solution,1,0.35,no_pattern_match_default,,
ann_0051,twcs.csv,twitter,"@217835 Please join us in DM to get started, and let us know when you installed the most recent update.",Provide_Solution,1,0.35,no_pattern_match_default,,
ann_0052,twcs.csv,twitter,"@176429 There's nothing better than some delicious fries! We’ve got plenty to share, Angel!",Provide_Solution,1,0.35,no_pattern_match_default,,
ann_0053,twcs.csv,twitter,@162488 or drop in your details through the link provided earlier (2/3) ^VM,Provide_Solution,1,0.35,no_pattern_match_default,,
ann_0054,twcs.csv,twitter,"@234669 Hey, help's here! Can you DM us your username and email address, along with that of the plan owner? We'll take a look backstage 🔍 /PX https://t.co/ldFdZRiNAt",Provide_Solution,1,0.35,no_pattern_match_default,,
ann_0055,oasst1-train.csv,openassistant,"Here are some tips for a college student to improve their resume if they have little relevant work experience:

Include relevant coursework: If you have taken classes related to your field of study, you can list them on your resume. This will show that you have knowledge in the area even if you haven't had much hands-on experience.

Highlight relevant projects: If you have completed any projects related to your desired field of study, list them on your resume. This will show potential employers that you have practical skills in the area even if you haven't had formal work experience.

List any internships or volunteer experience: Even if your internships or volunteer work is not directly related to your desired field of study, they can still show potential employers that you are a hard worker and have experience working in a professional environment.

Consider part-time jobs: Part-time jobs, even if they are not related to your field of study, can still show potential employers that you have experience working in a team and have time management skills.

Highlight soft skills: Soft skills such as communication, leadership, and problem-solving are important in any job. If you have had experience in any extracurricular activities or volunteer work, make sure to highlight any soft skills you have developed.

Seek out opportunities to gain more experience: Look for internships, volunteer work, or part-time jobs that will give you more experience in your desired field of study. You can also consider taking on freelance work or personal projects to build up your portfolio.

Customize your resume for each job: Tailor your resume to each job you apply for, highlighting the experiences and skills that are most relevant to the position.

Remember, employers are often looking for candidates who are willing to learn and grow. By demonstrating your passion and willingness to gain experience in your desired field, you can make a strong impression even with limited work experience.",Provide_Solution,1,0.62,Provide_Solution:\byou can\b,,
ann_0056,twcs.csv,twitter,@184978 You can send a message here: https://t.co/0f6pFdYU9j -AC,Provide_Solution,1,0.62,Provide_Solution:\byou can\b,,
ann_0057,twcs.csv,twitter,@214135 Our apologies. Please follow and DM with your confirmation number to this handle so we can assist. Thanks-KL,Affective_Repair,2,0.62,Affective_Repair:\bapolog\w*\b,,
ann_0058,twcs.csv,twitter,@191798 Sorry again for the delay.^CD,Affective_Repair,2,0.62,Affective_Repair:\bsorry\b,,
ann_0059,twcs.csv,twitter,@185308 Apologies for any confusion caused Nigel - Josh,Affective_Repair,2,0.62,Affective_Repair:\bapolog\w*\b,,
ann_0060,twcs.csv,twitter,@166424 I am sorry to hear about your experience. Please DM me if there is anything I can do to help. -Aaron,Affective_Repair,2,0.62,Affective_Repair:\bsorry\b,,
ann_0061,twcs.csv,twitter,@193341 Hi there! We're sorry for the wait. We've just sent you a bit more info over DM. We'll carry on helping out there /GN,Affective_Repair,2,0.62,Affective_Repair:\bsorry\b,,
ann_0062,twcs.csv,twitter,"@176710 I know how frustrating that can be. Can you DM me your full name, phone number, and address so I can look into this further? ^CL",Affective_Repair,2,0.62,Affective_Repair:\bfrustrat\w*\b,,
ann_0063,twcs.csv,twitter,"@213977 This isn't considered a ""bug"" but we're tracking feedback and working to make changes. We understand where you're coming from!",Affective_Repair,2,0.62,Affective_Repair:\bwe understand\b,,
ann_0064,twcs.csv,twitter,@126701 I'm sorry you haven't received your package! Can you tell us who the carrier is? Found here: https://t.co/q4LAMZ3tbE ^AC,Affective_Repair,2,0.62,Affective_Repair:\bsorry\b,,
ann_0065,twcs.csv,twitter,@172824 Sorry to hear that. Which restaurant location did you visit?,Affective_Repair,2,0.62,Affective_Repair:\bsorry\b,,
ann_0066,twcs.csv,twitter,"@227518 I am very sorry to hear this - can you please advise what the search was for, and if possible, provide a link or screenshot so we can investigate  ^TD",Affective_Repair,2,0.62,Affective_Repair:\bsorry\b,,
ann_0067,twcs.csv,twitter,"@129573 Hey there, apologies for the delay. Were you able to successfully play the beta? Please let me know. ^MB",Affective_Repair,2,0.62,Affective_Repair:\bapolog\w*\b,,
ann_0068,twcs.csv,twitter,@159049 I understand and I'm sorry about the stretch. We'd like help you. Please share your details on the link. ^HA,Affective_Repair,2,0.62,Affective_Repair:\bsorry\b,,
ann_0069,twcs.csv,twitter,@183704 I'd recommend that you attempt to reach out within that timeframe. Sorry for any inconvenience. ^Jessica,Affective_Repair,2,0.62,Affective_Repair:\bsorry\b,,
ann_0070,twcs.csv,twitter,@214807 Sorry! Rest assured our team is looking into this issue. We'd love to grab more details by phone/chat: https://t.co/6YdK7bvQN7.,Affective_Repair,2,0.62,Affective_Repair:\bsorry\b,,
ann_0071,twcs.csv,twitter,@120923 My apologies Erin. Has any re-delivery attempt information been provided? ^DC,Affective_Repair,2,0.62,Affective_Repair:\bapolog\w*\b,,
ann_0072,twcs.csv,twitter,"@220025 Hi Alice ,Apologies on this ,We currently still awaiting approval on this case.Once done we will inform via email.Thanks",Affective_Repair,2,0.62,Affective_Repair:\bapolog\w*\b,,
ann_0073,twcs.csv,twitter,@128622 Sorry you feel that way! We've offered to help &amp; you can reply back to the DM w/the rqsted info or call Cust Support. Thanks! M,Affective_Repair,2,0.62,Provide_Solution:\byou can\b;Affective_Repair:\bsorry\b,,
ann_0074,twcs.csv,twitter,@146046 Sorry for any delay at Bag Drop this morning Lauren. A member of the team will assist you as soon as possible ^BM,Affective_Repair,2,0.62,Affective_Repair:\bsorry\b,,
ann_0075,twcs.csv,twitter,"@186258 We're sorry about that, Martin. Do you know why? Have you been able to make other arrangements? ^SR",Affective_Repair,2,0.62,Affective_Repair:\bsorry\b,,
ann_0076,twcs.csv,twitter,@168323 I apologize for the issues you are having with the Wi-Fi. I will need the account holders name and service addres... https://t.co/kGGliCT6KG,Affective_Repair,2,0.62,Ask_for_Information:\baccount\b;Affective_Repair:\bapolog\w*\b,,
ann_0077,twcs.csv,twitter,"@171115 Our team is expected to remain professional and courteous at all times, our apologies for any rudeness you received.",Affective_Repair,2,0.62,Affective_Repair:\bapolog\w*\b,,
ann_0078,twcs.csv,twitter,@167589 We're sorry you feel that way - is there something we can do to help? ^michr,Affective_Repair,2,0.62,Affective_Repair:\bsorry\b,,
ann_0079,twcs.csv,twitter,"@132545 Sorry for the trouble caused.We request you to DM your idea number to assist you better.
Regards,
Shweta https://t.co/LBfZgLCSfr",Affective_Repair,2,0.62,Affective_Repair:\bsorry\b,,
ann_0080,twcs.csv,twitter,"@225150 Some items may be shipped in the manufacturer packaging as part of the Frustration-Free Packaging program. If applicable, there may be an option to ""ship in Amazon box"" during checkout. Alternatively, you can select ""send as a gift."" That will guarantee packaging. ^SK",Affective_Repair,2,0.62,Provide_Solution:\byou can\b;Affective_Repair:\bfrustrat\w*\b,,
ann_0081,twcs.csv,twitter,@144964 I'm so sorry for the frustration this has caused. This isn't what we strive for. I'd like a member of our team to escalate this for you to make sure the appropriate action is taken. Please provide us with your details here: https://t.co/zhNCm9J4Pm ^NS,Affective_Repair,2,0.74,Ask_for_Information:\bplease provide\b;Affective_Repair:\bsorry\b;Affective_Repair:\bfrustrat\w*\b;Escalate_to_Human:\bescalat\w*\b,,
ann_0082,twcs.csv,twitter,"@129321 Sorry to hear that, Kim. Please e-mail us more details about your visit to __email__ &amp; we will address.",Affective_Repair,2,0.62,Affective_Repair:\bsorry\b,,
ann_0083,twcs.csv,twitter,@129249 Sorry to hear you didn't love it. We'll keep working to perfect the unprocessed recipe. -AC,Affective_Repair,2,0.62,Affective_Repair:\bsorry\b,,
ann_0084,twcs.csv,twitter,"@194923 I apologize the presentation was lacking, but glad you enjoyed it. 😋 *TJE",Affective_Repair,2,0.62,Affective_Repair:\bapolog\w*\b,,
ann_0085,twcs.csv,twitter,@172133 to a supervisor. They’re available 24/7. Sorry for any inconvenience.^In,Escalate_to_Human,3,0.62,Affective_Repair:\bsorry\b;Escalate_to_Human:\bsupervisor\b,,
ann_0086,twcs.csv,twitter,@164979 Goodness! We'd like to have a specialist look in to this with you! Please leave your info here: https://t.co/7z3hvtA0a7 ^KN,Escalate_to_Human,3,0.62,Escalate_to_Human:\bspecialist\b,,
ann_0087,twcs.csv,twitter,"@140408 
I am so sorry for the trouble, Bianca. We are here to help! Have you received an email from our account specialist? ^SC",Escalate_to_Human,3,0.62,Ask_for_Information:\baccount\b;Affective_Repair:\bsorry\b;Escalate_to_Human:\bspecialist\b,,
ann_0088,twcs.csv,twitter,"@158390 That's strange. Please reply to the e-mail sent by our Social Media Escalation team, we'll revert shortly with an update. ^MP",Escalate_to_Human,3,0.62,Escalate_to_Human:\bescalat\w*\b,,
ann_0089,twcs.csv,twitter,@122041 Thanks for all the info Gary. We'll forward this to our buyers for internal review. Can I ask you to DM us via the link too with your... 1/2,Escalate_to_Human,3,0.62,Escalate_to_Human:\bforward this to\b,,
ann_0090,twcs.csv,twitter,@145895 Apologies again Craig. Have you a delivery preference set up? Please get in touch -  https://t.co/JzP7hlA23B we'd like to escalate this further with the carrier. ^TP,Escalate_to_Human,3,0.62,Affective_Repair:\bapolog\w*\b;Escalate_to_Human:\bescalat\w*\b,,
ann_0091,twcs.csv,twitter,@199870 Please call &amp; escalate your concerns to a Supervisor. ^Clarissa,Escalate_to_Human,3,0.74,Escalate_to_Human:\bescalat\w*\b;Escalate_to_Human:\bsupervisor\b,,
ann_0092,twcs.csv,twitter,"@214048 Hi Colin, thx for tweeting us. Sorry to hear of the frustration. Have you escalate your concern to a supervisor? ^Naomi",Escalate_to_Human,3,0.74,Affective_Repair:\bsorry\b;Affective_Repair:\bfrustrat\w*\b;Escalate_to_Human:\bescalat\w*\b;Escalate_to_Human:\bsupervisor\b,,
ann_0093,twcs.csv,twitter,"@171563 Hello, 
We apologize for any inconvenience you may have experienced.The complaint has been escalated. Thank you. UO.",Escalate_to_Human,3,0.62,Affective_Repair:\bapolog\w*\b;Escalate_to_Human:\bescalat\w*\b;Close_with_Feedback:\bthank you\b,,
ann_0094,twcs.csv,twitter,@170629 I'm sorry that you feel this way. Have you escalated this to our support team here: https://t.co/vlvfJr4nN9.^SB,Escalate_to_Human,3,0.62,Affective_Repair:\bsorry\b;Escalate_to_Human:\bescalat\w*\b,,
ann_0095,twcs.csv,twitter,@177158 We'd like to get this escalated! Pls provide us your details in full here: https://t.co/m8p86TYFBC. Thanks in advance! ^KJ,Escalate_to_Human,3,0.62,Escalate_to_Human:\bescalat\w*\b,,
ann_0096,twcs.csv,twitter,@176329 Apologies for any lapse in service you've received. Pls call and escalate to a Supervisor. ^Clarissa,Escalate_to_Human,3,0.74,Affective_Repair:\bapolog\w*\b;Escalate_to_Human:\bescalat\w*\b;Escalate_to_Human:\bsupervisor\b,,
ann_0097,twcs.csv,twitter,"@202174 Nate, could you let us know which store location this is? We will forward this to the operators of the store. Thanks!",Escalate_to_Human,3,0.62,Escalate_to_Human:\bforward this to\b,,
ann_0098,twcs.csv,twitter,"@150862 That would be great. Once I have the footage, I can escalate the matter up to the Studio so they can dig into it. ^HB",Escalate_to_Human,3,0.62,Escalate_to_Human:\bescalat\w*\b,,
ann_0099,twcs.csv,twitter,"@158239 For account related issues, we can't assist you as this will be handled by our account specialist team.(1/2)^HR",Escalate_to_Human,3,0.62,Ask_for_Information:\baccount\b;Escalate_to_Human:\bspecialist\b,,
ann_0100,twcs.csv,twitter,"@124653 I’d be happy to escalate your concerns. Please DM more details including your full name, address, and phone number. Thx ^KJ https://t.co/q1oBDuYAdh",Escalate_to_Human,3,0.62,Escalate_to_Human:\bescalat\w*\b,,
ann_0101,twcs.csv,twitter,@148038 Thank you for this information. I will be sure to forward this to the appropriate department for investigation. ^RO,Escalate_to_Human,3,0.62,Escalate_to_Human:\bforward this to\b;Close_with_Feedback:\bthank you\b,,
ann_0102,twcs.csv,twitter,"@232820 Thank you for keeping us in the loop. I'd like a member of my team to escalate this for you. At your earliest convenience, please send us more detail about this order here: https://t.co/0FKkh9V0SL ^DW",Escalate_to_Human,3,0.62,Escalate_to_Human:\bescalat\w*\b;Close_with_Feedback:\bthank you\b,,
ann_0103,twcs.csv,twitter,@158468 I'm sorry for the stretch. Could you tell me if you've received any mail from our Social Media Escalations team? ^AU,Escalate_to_Human,3,0.62,Affective_Repair:\bsorry\b;Escalate_to_Human:\bescalat\w*\b,,
ann_0104,twcs.csv,twitter,"@190145 Hey there, thanks for sending that over. I'll be sure to escalate this to the appropriate parties. Thanks for playing. ^OP",Escalate_to_Human,3,0.62,Escalate_to_Human:\bescalat\w*\b,,
ann_0105,oasst1-train.csv,openassistant,"John Wick has a very simple revenge story. It can be summarized as ""Keanu gets angry and shoots bad guys"" but what makes it special? It's directed by Chad Stahelski who's a stunt specialist, and boy does it show. The main selling point of the film is the real virtuoso action sequences with well made choreographies. Unlike today's action movies, it doesn't use quick-cuts or shaky cameras actually see what's going on. 8/10",Escalate_to_Human,3,0.62,Escalate_to_Human:\bspecialist\b,,
ann_0106,twcs.csv,twitter,@190607 I'll be sure to forward this to our concerned team and have it reviewed. Thanks for the wonderful suggestion. ^SA,Escalate_to_Human,3,0.62,Escalate_to_Human:\bforward this to\b,,
ann_0107,twcs.csv,twitter,@183817 Sry to hear this. I'd like to escalate ur concern to our partners n India. Pls click/send phn# only. No acct#s or PINs. ^BS https://t.co/gvC4jAOA9c,Escalate_to_Human,3,0.62,Escalate_to_Human:\bescalat\w*\b,,
ann_0108,twcs.csv,twitter,@127132 We apologize for any inconvenience you may have experienced.The complaint has been escalated. Thank you. UO.,Escalate_to_Human,3,0.62,Affective_Repair:\bapolog\w*\b;Escalate_to_Human:\bescalat\w*\b;Close_with_Feedback:\bthank you\b,,
ann_0109,twcs.csv,twitter,@145861 I'm very sorry for the poor experience! I would like one of our Social Media specialists to look into this with you. Please provide the information that is requested here: https://t.co/9KKpqfGmRR so we can get this escalated to the proper team. ^ZW,Escalate_to_Human,3,0.62,Ask_for_Information:\bplease provide\b;Affective_Repair:\bsorry\b;Escalate_to_Human:\bescalat\w*\b,,
ann_0110,twcs.csv,twitter,"@191307 Okay Hassan, your request will be escalated to management for action. Kindly be patient.  TT",Escalate_to_Human,3,0.62,Escalate_to_Human:\bescalat\w*\b,,
ann_0111,twcs.csv,twitter,@122886 We suggest that you keep working with our escalations team as they are the best team to provide you a resolution on this case. We have already notified them. Kindly remove the picture from the public tweet for security reasons.^KT https://t.co/oEoSPnwg0y,Escalate_to_Human,3,0.62,Escalate_to_Human:\bescalat\w*\b,,
ann_0112,twcs.csv,twitter,@122366 Kindly reply to the email you've received from our account specialist team for further assistance on this issue. (2/2) ^RI,Escalate_to_Human,3,0.62,Ask_for_Information:\baccount\b;Escalate_to_Human:\bspecialist\b,,
ann_0113,twcs.csv,twitter,"@176403 We'd be happy to help, but we could use more info. Could you follow &amp; DM @Xboxsupport with your Gamertag &amp; some details? ^EZ",Close_with_Feedback,4,0.62,Close_with_Feedback:\bhappy to help\b,,
ann_0114,twcs.csv,twitter,"@137614 Thank you for bringing to our attention, Can you tell us the specific problem that you are experiencing? Which Windows version are you using.",Close_with_Feedback,4,0.62,Close_with_Feedback:\bthank you\b,,
ann_0115,twcs.csv,twitter,@160171 Thank you. Do you have access to your battery backup unit? ^DDD,Close_with_Feedback,4,0.62,Close_with_Feedback:\bthank you\b,,
ann_0116,oasst1-train.csv,openassistant,Thank you! Is there anything else I can help you with?,Close_with_Feedback,4,0.74,Close_with_Feedback:\banything else\b;Close_with_Feedback:\bthank you\b,,
ann_0117,twcs.csv,twitter,"@134900 Hello, Griffin. Wow! Great to hear this amazing feedback! Thank you for flying with us!  *ARD",Close_with_Feedback,4,0.62,Close_with_Feedback:\bthank you\b,,
ann_0118,twcs.csv,twitter,"@118422 Hello @118422, thank you. ^ANopo",Close_with_Feedback,4,0.62,Close_with_Feedback:\bthank you\b,,
ann_0119,twcs.csv,twitter,"@176622 We hear you, and we appreciate all the feedback. In the meantime, we'll be here if there's anything else 🙂 /M",Close_with_Feedback,4,0.62,Close_with_Feedback:\banything else\b,,
ann_0120,twcs.csv,twitter,@172248 Thank you for your revert. We'll reach out to you with an update at the earliest. ^SA,Close_with_Feedback,4,0.62,Close_with_Feedback:\bthank you\b,,
ann_0121,twcs.csv,twitter,@118064 Thank you for your suggestion! We will forward this for review. 😊,Close_with_Feedback,4,0.62,Close_with_Feedback:\bthank you\b,,
ann_0122,twcs.csv,twitter,@192139 No worries! Let us know if you need anything else. We'll be... https://t.co/LgAM6ky9Vv 🙂 /NY,Close_with_Feedback,4,0.62,Close_with_Feedback:\banything else\b,,
